api	method	path	tag	operation_id	deprecated	pagination	sorting	action	fingerprint
cloud	GET	/isos/{id}	ISOs	get_iso	no	no	no	none	535c356fb0d75cf581ca8d4327fc9ec57a82f3bf56fcc83fcce1300470be1176
cloud	GET	/load_balancer_types	Load Balancer Types	list_load_balancer_types	no	yes	no	none	7341506649c0cc9af4511d3897c13d91840f4aa5b229dade9dac38b7db117ec4
cloud	GET	/load_balancer_types/{id}	Load Balancer Types	get_load_balancer_type	no	no	no	none	9652744402d4501ca5ffc82e3c5abe6a0ee5b279c1b11d54092f117f36d2c0fd
cloud	GET	/load_balancers	Load Balancers	list_load_balancers	no	yes	yes	none	6bb6e5816547dd1751cff95b6b6f21deb5cfbe9370c60a2316a7dd8d8b574f91
cloud	POST	/load_balancers	Load Balancers	create_load_balancer	no	no	no	none	216731f2cc6939d8a5d82470d03ed4bad707f588b838169b8f92e891e5359071
cloud	GET	/load_balancers/actions	Load Balancer Actions	list_load_balancers_actions	no	yes	yes	action-list	e3626c7da31ecc5dd95f6e564b19749d88ce01fa75fe0539c8d7d630981680cc
cloud	GET	/load_balancers/actions/{id}	Load Balancer Actions	get_load_balancers_action	no	no	no	action-get	a27b9d76e778698e3c45a845b68e8227a7f3b4d5d7e93524f1a96f906768390c
cloud	DELETE	/load_balancers/{id}	Load Balancers	delete_load_balancer	no	no	no	none	bc5cba934d0f4443f5ffd98b914f0994bd422f9e671dfce1e67e25a28b3920ac
cloud	GET	/load_balancers/{id}	Load Balancers	get_load_balancer	no	no	no	none	a4c1435a14c463c7fb67672a0e293de83fb6b25d8f511467d8d9759131d9c319
cloud	PUT	/load_balancers/{id}	Load Balancers	update_load_balancer	no	no	no	none	83f2bb18068a5b25c6b18fbfeb0b17560c7dafb108ebf5c972b5c27c47d97369
cloud	GET	/load_balancers/{id}/actions	Load Balancer Actions	list_load_balancer_actions	no	yes	yes	action-list	0d4eebee8fa015b93d71c64736d56c630451a8b9fb39a5d2336749ddabc686f5
cloud	POST	/load_balancers/{id}/actions/add_service	Load Balancer Actions	add_load_balancer_service	no	no	no	starts-action	81969139f2ea1b15c5ab41dc06db0e2ffb40525901ec8f6d14a29ccad24aacc1
cloud	POST	/load_balancers/{id}/actions/add_target	Load Balancer Actions	add_load_balancer_target	no	no	no	starts-action	4c3077465bccfb264ca6fe3c0ce6d06a1f3af30ca371904bd48009c350004b6c
cloud	POST	/load_balancers/{id}/actions/attach_to_network	Load Balancer Actions	attach_load_balancer_to_network	no	no	no	starts-action	8a9790dc56afb62a88aaeb1fdd94bdb6d387e2257651e8f463db04d4a03cb034
